h,method,detect_rate,false_alarm_rate,delay_mean,delay_median,delay_90pct
3,raw,1.0,0.9175,-38.84,-46.0,-5.9
3,whitened,1.0,0.674,-21.58,-28.0,13.0
5,raw,1.0,0.6055,-16.74,-18.5,15.0
5,whitened,0.997,0.235,5.78,8.0,32.0
8,raw,0.9995,0.2545,4.76,8.0,29.0
8,whitened,0.9665,0.047,21.82,17.0,53.0
10,raw,0.995,0.1385,12.86,12.0,38.0
10,whitened,0.9295,0.0155,27.59,22.0,61.0
15,raw,0.971,0.039,25.31,21.0,58.0
15,whitened,0.8245,0.0035,36.97,32.0,76.0
20,raw,0.9175,0.0145,33.51,29.0,68.0
20,whitened,0.6865,0.0005,43.3,39.0,81.0
